old_ticker,new_ticker,ex/eff_date,post_date,title
OB,TEAD,Jun-10-2025,Jun-09-2025,Outbrain Inc. - Name/Symbol Change Option Symbol: OB New Symbol: TEAD
EUSC,OPPE,Jun-02-2025,May-20-2025,WisdomTree Europe Hedged SmallCap Equity Fund - Name/Symbol Change Option Symbol: EUSC New Symbol: OPPE
SJW,HTO,May-06-2025,May-05-2025,SJW Group - Name/Symbol Change Option Symbol: SJW New Symbol: HTO
MYTE,LUXE,May-01-2025,Apr-30-2025,MYT Netherlands Parent B.V. - Name/Symbol Change Option Symbol: MYTE New Symbol: LUXE
EDOC,HEAL,Apr-01-2025,Mar-31-2025,Global X Funds Global X Telemedicine & Digital Health ETF - Name/Symbol Change Option Symbol: EDOC New Symbol: HEAL
CDXC,NAGE,Mar-19-2025,Mar-18-2025,ChromaDex Corporation - Name/Symbol Change Option Symbol: CDXC New Symbol: NAGE
SQY,XYZY,Apr-01-2025,Mar-18-2025,YieldMax SQ Option Income Strategy ETF - Name/Symbol Change Option Symbol: SQY New Symbol: XYZY
ICLK,AMBR,Mar-13-2025,Mar-12-2025,iClick Interactive Asia Group Limited - Name/Symbol Change Option Symbol: ICLK New Symbol: AMBR
PUTW,WTPI,Apr-04-2025,Feb-24-2025,WisdomTree PutWrite Strategy Fund - Name/Symbol Change Option Symbol: PUTW New Symbol: WTPI
QRTEA,QVCGA,Feb-24-2025,Feb-21-2025,"Qurate Retail, Inc. Series A - Name/Symbol Change Option Symbol: QRTEA New Symbol: QVCGA"
FREY,TE,Mar-03-2025,Feb-20-2025,"FREYR Battery, Inc. - Name/Symbol Change Option Symbol: FREY New Symbol: TE"
TPX,SGI,Feb-18-2025,Feb-12-2025,"Tempur Sealy International, Inc. - Name/Symbol Change Option Symbol: TPX New Symbol: SGI"
NEP,XIFR,Feb-03-2025,Jan-27-2025,"NextEra Energy Partners, LP - Name/Symbol Change Option Symbol: NEP New Symbol: XIFR"
JBT,JBTM,Jan-03-2025,Jan-02-2025,John Bean Technologies Corporation - Name/Symbol Change Option Symbol: JBT New Symbol: JBTM
VVI,PRSU,Jan-02-2025,Dec-31-2024,Viad Corporation - Name/Symbol Change Option Symbol: VVI New Symbol: PRSU
BSIG,AAMI,Jan-02-2025,Dec-31-2024,BrightSphere Investment Group Inc. - Name/Symbol Change Option Symbol: BSIG New Symbol: AAMI
TTAC,ABFL,Dec-13-2024,Dec-12-2024,FCF US Quality ETF - Name/Symbol Change Option Symbol: TTAC New Symbol: ABFL
BOWL,LUCK,Dec-12-2024,Dec-11-2024,Bowlero Corporation - Name/Symbol Change Option Symbol: BOWL New Symbol: LUCK
NR,NPKI,Dec-19-2024,Dec-09-2024,"Newpark Resources, Inc. - Name/Symbol Change Option Symbol: NR New Symbol: NPKI"
AJX,RPT,Dec-03-2024,Nov-21-2024,Great Ajax Corporation - Name/Symbol Change Option Symbol: AJX New Symbol: RPT
CGA,ENFY,Nov-26-2024,Nov-19-2024,"China Green Agriculture, Inc. - Name/Symbol Change Option Symbol: CGA New Symbol: ENFY"
OCUP,IRD,Oct-24-2024,Oct-23-2024,"Ocuphire Pharma, Inc. - Name/Symbol Change Option Symbol: OCUP New Symbol: IRD"
IVES,AIVC,Oct-21-2024,Oct-17-2024,Amplify Global Cloud Technology ETF - Name/Symbol Change Option Symbol: IVES New Symbol: AIVC
SGH,PENG,Oct-15-2024,Oct-14-2024,"SMART Global Holdings, Inc. - Name/Symbol Change Option Symbol: SGH New Symbol: PENG"
CHK,EXE,Oct-02-2024,Oct-01-2024,Chesapeake Energy Corporation - Name/Symbol Change Option Symbol: CHK New Symbol: EXE
AMSWA,LGTY,Oct-02-2024,Oct-01-2024,"American Software, Inc. - Name/Symbol Change Option Symbol: AMSWA New Symbol: LGTY"
EBLU,TBLU,Sep-30-2024,Sep-24-2024,Ecofin Global Water ESG Fund - Name/Symbol Change Option Symbol: EBLU New Symbol: TBLU
SOI,SEI,Sep-12-2024,Sep-11-2024,"Solaris Oilfield Infrastructure, Inc. - Name/Symbol Change Option Symbol: SOI New Symbol: SEI"
PNM,TXNM,Aug-05-2024,Aug-02-2024,"PNM Resources, Inc. - Name/Symbol Change Option Symbol: PNM New Symbol: TXNM"
IRBO,ARTY,Aug-12-2024,Jul-24-2024,iShares Robotics and Artificial Intelligence Multisector ETF - Name/Symbol Change Option Symbol: IRBO New Symbol: ARTY
FIVG,SIXG,Jul-22-2024,Jul-19-2024,Defiance Next Gen Connectivity ETF - Name/Symbol Change Option Symbol: FIVG New Symbol: SIXG
OCN,ONIT,Jun-10-2024,May-31-2024,Ocwen Financial Corporation - Name/Symbol Change Option Symbol: OCN New Symbol: ONIT
ALCC,OKLO,May-10-2024,May-09-2024,AltC Acquisition Corporation - Name/Symbol Change Option Symbol: ALCC New Symbol: OKLO
MDGS,XLYO,Apr-18-2024,Apr-17-2024,Medigus Ltd. - Name/Symbol Change Option Symbol: MDGS New Symbol: XLYO
VPN,DTCR,Apr-01-2024,Mar-28-2024,Global X Funds Global X Data Center REITs & Digital Infrastructure ETF - Name/Symbol Change Option Symbol: VPN New Symbol: DTCR
DWAC,DJT,Mar-26-2024,Mar-25-2024,Digital World Acquisition Corp. - Name/Symbol Change Option Symbol: DWAC New Symbol: DJT
CPSI,TBRG,Mar-04-2024,Mar-01-2024,"Computer Programs and Systems, Inc. - Name/Symbol Change Option Symbol: CPSI New Symbol: TBRG"
TMST,MTUS,Feb-27-2024,Feb-26-2024,TimkenSteel Corporation - Name/Symbol Change Option Symbol: TMST New Symbol: MTUS
AMEH,ASTH,Feb-26-2024,Feb-23-2024,"Apollo Medical Holdings, Inc. - Name/Symbol Change Option Symbol: AMEH New Symbol: ASTH"
SEAS,PRKS,Feb-13-2024,Feb-12-2024,"SeaWorld Entertainment, Inc. - Name/Symbol Change Option Symbol: SEAS New Symbol: PRKS"
NHWK,SCPX,Feb-06-2024,Feb-05-2024,"NightHawk Biosciences, Inc. - Name/Symbol Change Option Symbol: NHWK New Symbol: SCPX"
CDAY,DAY,Feb-01-2024,Jan-30-2024,Ceridian HCM Holding Inc. - Name/Symbol Change Option Symbol: CDAY New Symbol: DAY
TRMR,NEXN,Jan-10-2024,Jan-09-2024,Tremor International Ltd. - Name/Symbol Change Option Symbol: TRMR New Symbol: NEXN
IGN,IDGT,Dec-18-2023,Dec-12-2023,iShares North American Tech-Multimedia Networking ETF - Name/Symbol Change Option Symbol: IGN New Symbol: IDGT ***Update***
MOXC,ABTS,Nov-17-2023,Nov-16-2023,Moxian (BVI) Inc - Name/Symbol Change Option Symbol: MOXC New Symbol: ABTS
SELB,RNAC,Nov-14-2023,Nov-13-2023,"Selecta Biosciences, Inc. - Name/Symbol Change Option Symbol: SELB New Symbol: RNAC"
BIGT,MAGS,Nov-09-2023,Nov-08-2023,Listed Funds Trust Roundhill BIG Tech ETF - Name/Symbol Change Option Symbol: BIGT New Symbol: MAGS
OSTK,BYON,Nov-06-2023,Nov-03-2023,"Overstock.com, Inc. - Name/Symbol Change Option Symbol: OSTK New Symbol: BYON"
PCYG,TRAK,Nov-02-2023,Nov-01-2023,"Park City Group, Inc. - Name/Symbol Change Option Symbol: PCYG New Symbol: TRAK"
NLS,BFX,Nov-01-2023,Oct-25-2023,"Nautilus, Inc. - Name/Symbol Change Option Symbol: NLS New Symbol: BFX"
AMOT,ALNT,Aug-23-2023,Aug-22-2023,Allied Motion Technologies Inc. - Name/Symbol Change Option Symbol: AMOT New Symbol: ALNT
UIHC,ACIC,Aug-15-2023,Aug-14-2023,United Insurance Holdings Corp. - Name/Symbol Change Option Symbol: UIHC New Symbol: ACIC
ENOB,RENB,Aug-07-2023,Aug-04-2023,"Enochian Biosciences, Inc. - Name/Symbol Change Option Symbol: ENOB New Symbol: RENB"
PBS,GGME,Aug-28-2023,Jul-25-2023,Invesco Dynamic Media ETF - Name/Symbol Change Option Symbol: PBS New Symbol: GGME
PSJ,IGPT,Aug-28-2023,Jul-25-2023,Invesco Dynamic Software ETF - Name/Symbol Change Option Symbol: PSJ New Symbol: IGPT
PXQ,KNCT,Aug-28-2023,Jul-25-2023,Invesco Dynamic Networking ETF - Name/Symbol Change Option Symbol: PXQ New Symbol: KNCT
EWMC,GRPM,Aug-28-2023,Jul-25-2023,Invesco S&P MidCap 400 Equal Weight ETF - Name/Symbol Change Option Symbol: EWMC New Symbol: GRPM
ORCC,OBDC,Jul-06-2023,Jul-05-2023,Owl Rock Capital Corporation - Name/Symbol Change Option Symbol: ORCC New Symbol: OBDC
ERYP,PHXM,Jun-29-2023,Jun-28-2023,ERYTECH Pharma S.A. - Name/Symbol Change Option Symbol: ERYP New Symbol: PHXM
RE,EG,Jul-10-2023,Jun-23-2023,"Everest Re Group, Ltd. - Name/Symbol Change Option Symbol: RE New Symbol: EG"
HSC,NVRI,Jun-20-2023,Jun-16-2023,Harsco Corporation - Name/Symbol Change Option Symbol: HSC New Symbol: NVRI
INT,WKC,Jun-16-2023,Jun-15-2023,World Fuel Services Corporation - Name/Symbol Change Option Symbol: INT New Symbol: WKC
PKI,RVTY,May-16-2023,May-15-2023,"PerkinElmer, Inc. - Name/Symbol Change Option Symbol: PKI New Symbol: RVTY"
BLI,CELL,Mar-22-2023,Mar-21-2023,"Berkeley Lights, Inc. - Name/Symbol Change Option Symbol: BLI New Symbol: CELL"
ZEST,BNMV,Mar-21-2023,Mar-20-2023,"Ecoark Holdings, Inc. - Name/Symbol Change Option Symbol: ZEST New Symbol: BNMV"
MCG,SHCO,Mar-20-2023,Mar-17-2023,Membership Collective Group Inc. - Symbol Change Option Symbol: MCG New Symbol: SHCO
KMPH,ZVRA,Mar-01-2023,Feb-28-2023,"KemPharm, Inc. - Name/Symbol Change Option Symbol: KMPH New Symbol: ZVRA"
RCII,UPBD,Feb-27-2023,Feb-24-2023,"Rent-A-Center, Inc. - Symbol Change Option Symbol: RCII New Symbol: UPBD"
BCOR,AVTA,Jan-26-2023,Jan-25-2023,"Blucora, Inc. - Name/Symbol Change Option Symbol: BCOR New Symbol: AVTA"
SMFR,WGS,Jan-10-2023,Jan-09-2023,Sema4 Holdings Corporation - Name/Symbol Change Option Symbol: SMFR New Symbol: WGS
LPI,VTLE,Jan-09-2023,Jan-06-2023,"Laredo Petroleum, Inc. - Name/Symbol Change Option Symbol: LPI New Symbol: VTLE"
DNAY,TBIO,Jan-04-2023,Jan-03-2023,"Codex DNA, Inc. - Name/Symbol Change Option Symbol: DNAY New Symbol: TBIO"
NILE,AULT,Jan-03-2023,Dec-23-2022,"BitNile Holdings, Inc. - Name/Symbol Change Option Symbol: NILE New Symbol: AULT"
TBK,TFIN,Dec-02-2022,Dec-01-2022,"Triumph Bancorp, Inc. - Name/Symbol Change Option Symbol: TBK New Symbol: TFIN"
LNDC,LFCR,Nov-15-2022,Nov-14-2022,Landec Corporation - Name/Symbol Change Option Symbol: LNDC New Symbol: LFCR
XL,SPRU,Nov-14-2022,Nov-11-2022,XL Fleet Corp. - Name/Symbol Change Option Symbol: XL New Symbol: SPRU
SBTX,SPRY,Nov-09-2022,Nov-08-2022,"Silverback Therapeutics, Inc. - Name/Symbol Change Option Symbol: SBTX New Symbol: SPRY"
NLOK,GEN,Nov-08-2022,Nov-07-2022,NortonLifeLock Inc. - Name/Symbol Change Option Symbol: NLOK New Symbol: GEN
WETF,WT,Nov-07-2022,Nov-04-2022,"WisdomTree Investments, Inc. - Name/Symbol Change Option Symbol: WETF New Symbol: WT"
GBOX,RVYL,Oct-24-2022,Oct-21-2022,GreenBox POS - Name/Symbol Change Option Symbol: GBOX New Symbol: RVYL
WRE,ELME,Oct-20-2022,Oct-17-2022,Washington Real Estate Investment Trust - Name/Symbol Change Option Symbol: WRE New Symbol: ELME
ADGI,IVVD,Sep-13-2022,Sep-12-2022,"Adagio Therapeutics, Inc. - Name and Symbol Change Option Symbol: ADGI New Symbol: IVVD"
SYNL,ACNT,Aug-11-2022,Aug-10-2022,Synalloy Corporation - Name/Symbol Change Option Symbol: SYNL New Symbol: ACNT
GIGE,BYOB,Aug-09-2022,Aug-08-2022,SoFi Gig Economy ETF - Name/Symbol Change Option Symbol: GIGE New Symbol: BYOB
MITC,STKH,Aug-03-2022,Aug-02-2022,MeaTech 3D Ltd. - Name/Symbol Change Option Symbol: MITC New Symbol: STKH
NRZ,RITM,Aug-02-2022,Aug-01-2022,New Residential Investment Corporation - Name/Symbol Change Option Symbol: NRZ New Symbol: RITM
CRTX,QNCX,Aug-01-2022,Jul-29-2022,"Cortexyme, Inc. - Name/Symbol Change Option Symbol: CRTX New Symbol: QNCX"
OEG,OIG,Aug-01-2022,Jul-29-2022,"Orbital Energy Group, Inc. - Name/Symbol Change Option Symbol: OEG New Symbol: OIG"
FLM,RBLD,Aug-01-2022,Jul-28-2022,First Trust Global Engineering and Construction ETF - Name/Symbol Change Option Symbol: FLM New Symbol: RBLD
VEC,VVX,Jul-08-2022,Jul-05-2022,"Vectrus, Inc. - Name/Symbol Change Option Symbol: VEC New Symbol: VVX"
SWM,MATV,Jul-06-2022,Jul-05-2022,"Schweitzer-Mauduit International, Inc. - Name/Symbol Change Option Symbol: SWM New Symbol: MATV"
LLNW,EGIO,Jun-16-2022,Jun-15-2022,"Limelight Networks, Inc. - Name/Symbol Change Option Symbol: LLNW New Symbol: EGIO"
RLGY,HOUS,Jun-09-2022,Jun-07-2022,Realogy Holdings Corporation - Name/Symbol Change Option Symbol: RLGY New Symbol: HOUS
UEPS,LSAK,May-25-2022,May-24-2022,"Net 1 UEPS Technologies, Inc. - Name/Symbol Change Option Symbol: UEPS New Symbol: LSAK"
RYB,GEHI,May-24-2022,May-20-2022,"RYB Education, Inc. - Name/Symbol Change Option Symbol: RYB New Symbol: GEHI"
FLDM,LAB,Apr-06-2022,Apr-05-2022,Fluidigm Corporation - Name/Symbol Change Option Symbol: FLDM New Symbol: LAB
DRW,WTRE,Apr-20-2022,Mar-30-2022,WisdomTree Global ex-US Real Estate Fund - Name/Symbol Change Option Symbol: DRW New Symbol: WTRE
REPH,SCTL,Mar-22-2022,Mar-21-2022,"Recro Pharma, Inc. - Name/Symbol Change Option Symbol: REPH New Symbol: SCTL"
VIACA,PARAA,Feb-17-2022,Feb-16-2022,ViacomCBS Inc. Class A - Name/Symbol Change Option Symbol: VIACA New Symbol: PARAA
AFIN,RTL,Feb-15-2022,Feb-14-2022,"American Finance Trust, Inc. - Name/Symbol Change Option Symbol: AFIN New Symbol: RTL"
FVE,ALR,Jan-28-2022,Jan-27-2022,Five Star Senior Living Inc. - Name/Symbol Change Option Symbol: FVE New Symbol: ALR
ZIOP,TCRT,Jan-27-2022,Jan-26-2022,ZIOPHARM Oncology Inc - Name/Symbol Change Option Symbol: ZIOP New Symbol: TCRT
FTXD,ISHP,Jan-26-2022,Jan-25-2022,First Trust Exchange-Traded Fund VI First Trust Nasdaq Retail ETF - Name/Symbol Change Option Symbol: FTXD New Symbol: ISHP
CRY,AORT,Jan-24-2022,Jan-20-2022,"CryoLife, Inc. - Name/Symbol Change Option Symbol: CRY New Symbol: AORT"
OSMT,RVLP,Jan-19-2022,Jan-18-2022,Osmotica Pharmaceuticals plc - Name/Symbol Change Option Symbol: OSMT New Symbol: RVLP
SINO,SGLY,Jan-07-2022,Jan-06-2022,"Sino-Global Shipping America, Ltd. - Name/Symbol Change Option Symbol: SINO New Symbol: SGLY"
DTN,AIVL,Jan-18-2022,Dec-30-2021,WisdomTree U.S.Dividend Ex-Financials Fund - Name/Symbol Change Option Symbol: DTN New Symbol: AIVL
CLI,VRE,Dec-10-2021,Dec-09-2021,Mack-Cali Realty Corporation - Name/Symbol Change Option Symbol: CLI New Symbol: VRE
BRKS,AZTA,Dec-01-2021,Nov-30-2021,"Brooks Automation, Inc. - Name/Symbol Change Option Symbol: BRKS New Symbol: AZTA"
PVAC,ROCC,Oct-18-2021,Oct-15-2021,Penn Virginia Corporation - Name/Symbol Change Option Symbol: PVAC New Symbol: ROCC
CPST,CGRN,Apr-22-2021,Apr-21-2021,Capstone Turbine Corporation - Name/Symbol Change Option Symbol: CPST New Symbol: CGRN
SNE,SONY,Apr-01-2021,Mar-24-2021,Sony Corporation - Name/Symbol Change Option Symbol: SNE New Symbol: SONY
